Tag,VR,Keyword
"(0000,0000)",UL,CommandGroupLength
"(0000,0001)",UL,CommandLengthToEnd
"(0000,0002)",UI,AffectedSOPClassUID
"(0000,0003)",UI,RequestedSOPClassUID
"(0000,0010)",SH,CommandRecognitionCode
"(0000,0100)",US,CommandField
"(0000,0110)",US,MessageID
"(0000,0120)",US,MessageIDBeingRespondedTo
"(0000,0200)",AE,Initiator
"(0000,0300)",AE,Receiver
"(0000,0400)",AE,FindLocation
"(0000,0600)",AE,MoveDestination
"(0000,0700)",US,Priority
"(0000,0800)",US,CommandDataSetType
"(0000,0850)",US,NumberOfMatches
"(0000,0860)",US,ResponseSequenceNumber
"(0000,0900)",US,Status
"(0000,0901)",AT,OffendingElement
"(0000,0902)",LO,ErrorComment
"(0000,0903)",US,ErrorID
"(0000,1000)",UI,AffectedSOPInstanceUID
"(0000,1001)",UI,RequestedSOPInstanceUID
"(0000,1002)",US,EventTypeID
"(0000,1005)",AT,AttributeIdentifierList
"(0000,1008)",US,ActionTypeID
"(0000,1020)",US,NumberOfRemainingSuboperations
"(0000,1021)",US,NumberOfCompletedSuboperations
"(0000,1022)",US,NumberOfFailedSuboperations
"(0000,1023)",US,NumberOfWarningSuboperations
"(0000,1030)",AE,MoveOriginatorApplicationEntityTitle
"(0000,1031)",US,MoveOriginatorMessageID
"(0000,4000)",LT,DialogReceiver
"(0000,4010)",LT,TerminalType
"(0000,5010)",SH,MessageSetID
"(0000,5020)",SH,EndMessageID
"(0000,5110)",LT,DisplayFormat
"(0000,5120)",LT,PagePositionID
"(0000,5130)",CS,TextFormatID
"(0000,5140)",CS,NormalReverse
"(0000,5150)",CS,AddGrayScale
"(0000,5160)",CS,Borders
"(0000,5170)",IS,Copies
"(0000,5180)",CS,CommandMagnificationType
"(0000,5190)",CS,Erase
"(0000,51A0)",CS,Print
"(0000,51B0)",US,Overlays
"(0002,0000)",UL,FileMetaInformationGroupLength
"(0002,0001)",OB,FileMetaInformationVersion
"(0002,0002)",UI,MediaStorageSOPClassUID
"(0002,0003)",UI,MediaStorageSOPInstanceUID
"(0002,0010)",UI,TransferSyntaxUID
"(0002,0012)",UI,ImplementationClassUID
"(0002,0013)",SH,ImplementationVersionName
"(0002,0016)",AE,SourceApplicationEntityTitle
"(0002,0017)",AE,SendingApplicationEntityTitle
"(0002,0018)",AE,ReceivingApplicationEntityTitle
"(0002,0026)",UR,SourcePresentationAddress
"(0002,0027)",UR,SendingPresentationAddress
"(0002,0028)",UR,ReceivingPresentationAddress
"(0002,0031)",OB,RTVMetaInformationVersion
"(0002,0032)",UI,RTVCommunicationSOPClassUID
"(0002,0033)",UI,RTVCommunicationSOPInstanceUID
"(0002,0035)",OB,RTVSourceIdentifier
"(0002,0036)",OB,RTVFlowIdentifier
"(0002,0037)",UL,RTVFlowRTPSamplingRate
"(0002,0038)",FD,RTVFlowActualFrameDuration
"(0002,0100)",UI,PrivateInformationCreatorUID
"(0002,0102)",OB,PrivateInformation
"(0004,1130)",CS,FileSetID
"(0004,1141)",CS,FileSetDescriptorFileID
"(0004,1142)",CS,SpecificCharacterSetOfFileSetDescriptorFile
"(0004,1200)",UL,OffsetOfTheFirstDirectoryRecordOfTheRootDirectoryEntity
"(0004,1202)",UL,OffsetOfTheLastDirectoryRecordOfTheRootDirectoryEntity
"(0004,1212)",US,FileSetConsistencyFlag
"(0004,1220)",SQ,DirectoryRecordSequence
"(0004,1400)",UL,OffsetOfTheNextDirectoryRecord
"(0004,1410)",US,RecordInUseFlag
"(0004,1420)",UL,OffsetOfReferencedLowerLevelDirectoryEntity
"(0004,1430)",CS,DirectoryRecordType
"(0004,1432)",UI,PrivateRecordUID
"(0004,1500)",CS,ReferencedFileID
"(0004,1504)",UL,MRDRDirectoryRecordOffset
"(0004,1510)",UI,ReferencedSOPClassUIDInFile
"(0004,1511)",UI,ReferencedSOPInstanceUIDInFile
"(0004,1512)",UI,ReferencedTransferSyntaxUIDInFile
"(0004,151A)",UI,ReferencedRelatedGeneralSOPClassUIDInFile
"(0004,1600)",UL,NumberOfReferences
