Tag,Keyword
"(0010,0021)",IssuerOfPatientID
"(0010,0030)",PatientBirthDate
"(0010,0032)",PatientBirthTime
"(0010,0050)",PatientInsurancePlanCodeSequence
"(0010,0101)",PatientPrimaryLanguageCodeSequence
"(0010,1000)",OtherPatientIDs
"(0010,1001)",OtherPatientNames
"(0010,1002)",OtherPatientIDsSequence
"(0010,1005)",PatientBirthName
"(0010,1010)",PatientAge
"(0010,1040)",PatientAddress
"(0010,1060)",PatientMotherBirthName
"(0010,1080)",MilitaryRank
"(0010,1081)",BranchOfService
"(0010,1090)",MedicalRecordLocator
"(0010,2000)",MedicalAlerts
"(0010,2110)",Allergies
"(0010,2150)",CountryOfResidence
"(0010,2152)",RegionOfResidence
"(0010,2154)",PatientTelephoneNumbers
"(0010,2160)",EthnicGroup
"(0010,2180)",Occupation
"(0010,2203)",PatientSexNeutered
"(0010,2297)",ResponsiblePerson
"(0010,2298)",ResponsiblePersonRole
"(0010,2299)",ResponsibleOrganization
"(0012,0063)",DeidentificationMethod
"(0038,0500)",PatientState
"(0038,0100)",PertinentDocumentsSequence
"(0040,1400)",RequestedProcedureComments
"(0008,1030)",StudyDescription
"(0010,0010)",PatientName
"(0010,0020)",PatientID
"(0010,0033)",PatientBirthDateInAlternativeCalendar
"(0010,0034)",PatientDeathDateInAlternativeCalendar
"(0010,1100)",ReferencedPatientPhotoSequence
"(0010,2155)",PatientTelecomInformation
