Tag,Keyword
"(0008,0090)",ReferringPhysicianName
"(0008,009C)",ConsultingPhysicianName
"(0008,1048)",PhysiciansOfRecord
"(0008,1050)",PerformingPhysicianName
"(0008,1060)",NameOfPhysiciansReadingStudy
"(0008,1070)",OperatorsName
"(0010,0010)",PatientName
"(0010,0020)",PatientID
"(0010,0021)",IssuerOfPatientID
"(0010,0022)",TypeOfPatientID
"(0010,0024)",IssuerOfPatientIDQualifiersSequence
"(0010,0026)",SourcePatientGroupIdentificationSequence
"(0010,0027)",GroupOfPatientsIdentificationSequence
"(0010,0028)",SubjectRelativePositionInImage
"(0010,0030)",PatientBirthDate
"(0010,0032)",PatientBirthTime
"(0010,0033)",PatientBirthDateInAlternativeCalendar
"(0010,0034)",PatientDeathDateInAlternativeCalendar
"(0010,0035)",PatientAlternativeCalendar
"(0010,0040)",PatientSex
"(0010,0050)",PatientInsurancePlanCodeSequence
"(0010,0101)",PatientPrimaryLanguageCodeSequence
"(0010,0102)",PatientPrimaryLanguageModifierCodeSequence
"(0010,0200)",QualityControlSubject
"(0010,0201)",QualityControlSubjectTypeCodeSequence
"(0010,0212)",StrainDescription
"(0010,0213)",StrainNomenclature
"(0010,0214)",StrainStockNumber
"(0010,0215)",StrainSourceRegistryCodeSequence
"(0010,0216)",StrainStockSequence
"(0010,0217)",StrainSource
"(0010,0218)",StrainAdditionalInformation
"(0010,0219)",StrainCodeSequence
"(0010,0221)",GeneticModificationsSequence
"(0010,0222)",GeneticModificationsDescription
"(0010,0223)",GeneticModificationsNomenclature
"(0010,0229)",GeneticModificationsCodeSequence
"(0010,1000)",OtherPatientIDs
"(0010,1001)",OtherPatientNames
"(0010,1002)",OtherPatientIDsSequence
"(0010,1005)",PatientBirthName
"(0010,1010)",PatientAge
"(0010,1020)",PatientSize
"(0010,1021)",PatientSizeCodeSequence
"(0010,1022)",PatientBodyMassIndex
"(0010,1023)",MeasuredAPDimension
"(0010,1024)",MeasuredLateralDimension
"(0010,1030)",PatientWeight
"(0010,1040)",PatientAddress
"(0010,1050)",InsurancePlanIdentification
"(0010,1060)",PatientMotherBirthName
"(0010,1080)",MilitaryRank
"(0010,1081)",BranchOfService
"(0010,1090)",MedicalRecordLocator
"(0010,1100)",ReferencedPatientPhotoSequence
"(0010,2000)",MedicalAlerts
"(0010,2110)",Allergies
"(0010,2150)",CountryOfResidence
"(0010,2152)",RegionOfResidence
"(0010,2154)",PatientTelephoneNumbers
"(0010,2155)",PatientTelecomInformation
"(0010,2160)",EthnicGroup
"(0010,2180)",Occupation
"(0010,21A0)",SmokingStatus
"(0010,21B0)",AdditionalPatientHistory
"(0010,21C0)",PregnancyStatus
"(0010,21D0)",LastMenstrualDate
"(0010,21F0)",PatientReligiousPreference
"(0010,2201)",PatientSpeciesDescription
"(0010,2202)",PatientSpeciesCodeSequence
"(0010,2203)",PatientSexNeutered
"(0010,2210)",AnatomicalOrientationType
"(0010,2292)",PatientBreedDescription
"(0010,2293)",PatientBreedCodeSequence
"(0010,2294)",BreedRegistrationSequence
"(0010,2295)",BreedRegistrationNumber
"(0010,2296)",BreedRegistryCodeSequence
"(0010,2297)",ResponsiblePerson
"(0010,2298)",ResponsiblePersonRole
